label_id,label_name
1195806,is / was
1195806,is / was
196050,HNYTRX
832089,Exotic Dance Records
24430,Cynic
608,Nu Groove Records
980200,Vanity Press Records
138450,Not On Label (Simply Red)
11956,Fondle 'Em
11956,Fondle 'Em
792,Real Estate Records
73775,Objektivity
399283,Argot (2)
23458,Eargasmic Recordings
1276453,Antideepressant
58500,REKIDS
23528,Warp Records
23528,Warp Records
814792,Best Record Italy
8201,Rhymesayers Entertainment
390040,Office Recordings
814792,Best Record Italy
980200,Vanity Press Records
109,Ninja Tune
814792,Best Record Italy
1458568,Detroit Westside Kid
997,Acid Jazz
901746,The DNB Guild
494142,Confused House
105237,Redefinition Records
6339,Circus Company
1866,Columbia
109,Ninja Tune
108115,Synapsis Records
825818,Eye Teeth
5631,Hallucination
1142568,Khasia Hills
552,Tigerbeat6
14052,Select Recordings
253,Peacefrog Records
1452857,Club U Nite Records
1413,Data Records
23528,Warp Records
147971,Family Groove Records
390040,Office Recordings
255,Basic Channel
814792,Best Record Italy
1818,Not On Label
227454,Javotti Media
1500235,Unknown Label Milano
349159,LateNightTales
204509,Not On Label (Kenny Dixon Jr.)
4313,Sockett
185,Planet Mu
194365,Mom + Pop
4304,Delicious Vinyl
109,Ninja Tune
129,Infrared
1965,Big Beat
7343,Rowdy Records
750,Virgin
318,Suburban Base Records
67959,Counter Records
123,Moving Shadow
109,Ninja Tune
2161,Blue Planet Recordings
6,Ruffhouse Records
19078,Thud Rumble
1456,Sm:)e Communications
904,A&M Records
1488,Alleviated Records
301026,HOUSEWAX
466692,Chiwax Classic Edition
324413,Chiwax
324413,Chiwax
324413,Chiwax
324413,Chiwax
324413,Chiwax
80259,Toolbox Killerz
244780,Forced Nostalgia
624128,D3 Elements
656067,Cold Tonic
1403540,La Vie D'Artiste Music
324413,Chiwax
253,Peacefrog Records
9291,Running Back
565738,Hot Haus Recs
324413,Chiwax
324413,Chiwax
503480,Beste Modus
503480,Beste Modus
503480,Beste Modus
65616,Aus Music
194,Matador
65616,Aus Music
1034556,Druzhba
1034556,Druzhba
774484,Slow Down
130097,Afro Acid Plastik
417,Analog Records USA
949865,Texas Scratch League Records
2074,Independiente
551,Robsoul Recordings
1965,Big Beat
1866,Columbia
681,Atlantic
4356,Fischkopf Hamburg
284,Cutting Traxx
2660,Central Park Recordings
501,Imperial Dub Recordings
20,Moody Recordings
20,Moody Recordings
8377,Island Records
3707,Warlock Records
7138,5XO-294
20,Moody Recordings
8984,Loud Records
203082,Polystar (3)
31669,Tappan Zee Records
1217,Stones Throw Records
904,A&M Records
25407,Bell Records
11847,Insumision
11356,Fresh Records
654,Capitol Records
1866,Columbia
6723,Qwest Records
3332,Stray Records
2311,Interscope Records
2310,Aftermath Entertainment
5574,EastWest Records America
1217,Stones Throw Records
1005,Epic
9291,Running Back
1403540,La Vie D'Artiste Music
953,Wax Trax! Records
