artist_id,artist_name
858,Hardfloor
7018,Jordan Fields
10827,Leron Carson
21909,MC Boob
212363,Mr. V (4)
73132,Nu Civilization
7552,Pet Shop Boys
28520,Raw Instinct
4899382,tape_hiss
1631183,adoptahighway
28104,Aesop Rock
17308,Affie Yusuf
255935,Catwash
15584,Crystal Distortion
4478,DJ Shadow
875,DJ Skull
545362,Dyed Soundorom
904492,The Finger Prince
858,Hardfloor
799238,Industrialyzer
3386,Kevin Saunderson
34278,Led Zeppelin
34278,Led Zeppelin
613746,Marco Shuttle
1926,Matmos
3427,Random Noise Generation
5399198,Subtenant
14457,Technotronic
3440,Teste
40715,Tino
194,Various
228032,"""Fast"" Eddie Smith"
3378680,Clay Wilson (2)
344,Cristian Vogel
49240,Digital Soul
13439,DJ Slugo
2382,DJ Spookie
239622,Jenifa Mayanja
53622,K-Otix
115713,Kill Memory Crash
18983,Love Unlimited Orchestra
17587,Method Man
15885,Michael Jackson
24547,Paldrame
2183269,Pittsburgh Track Authority
2183269,Pittsburgh Track Authority
815987,Shifty Science
194,Various
194,Various
194,Various
4859,Daze Maxim
21939,DJ Omega
21939,DJ Omega
1377,G Flame
2186,Gene Hunt
10127,Geoff White
255,Johnny Fiasco
645,Kings Of Tomorrow
97399,Liberace
6933,Timeblind
15861,Traxxxsters
5203,Aphasic
693435,Connie Smith
1227,DJ Assault
360510,DJ Homewrecker
66534,Mike Balance
83186,Nemesis (3)
2470,Puente Latino
194,Various
12873,Bass Kittens
10533,Dean Martin
2493,Doctor DUB
170681,Gabriel Black
63638,Nik Denton vs Paul King
1030,Plastikman
385859,S.U.N. (2)
18547,Simple Minds
194,Various
5203,Aphasic
3545691,Certain Creatures
1227,DJ Assault
1444,DJ Vadim
8620,G-Man
296,J Majik
255,Johnny Fiasco
356288,"Kenny ""Dope"" Gonzalez"
1608,Nigel Richards
271588,Preservation Hall Jazz Band
2791,The Pump Panel
354543,Raw Beats
7626,Rocket
903051,Rye Rye
842,Sound Of K
1287,Thomas P. Heckmann
3947,Ben Sims
172518,Bitches From Hell
1449310,Dave Tarrida & Tobias Schmidt
36296,Del 5
3338,Derrick Carter
4281,Ellen Allien
5750,Fascinating Rhythm
66864,Francesco Pico
763,Incognito
4970,Soul II Soul
194,Various
1090,Alex Gopher
6714,D Mob
1377,G Flame
3390,Jark Prongo
36571,Jonene
1415,Omni Trio
17749,Skip Found Teli
40927,Wall Of Sound
213498,5th Ward Boyz
157157,Andrea Bertolini
3362,Angel Alanis
71789,Mazi Namvar
1608,Nigel Richards
13247,Prince Paul
207125,Somethin' For The People
32922,Spacedust
22748,Danilo Vigorito
8983,Deep Architecture
651,Digital
1227,DJ Assault
121834,DJ Fracus & Gavin G
503194,Nello Nicita
26,Alexi Delano
58882,Bill Makris
50714,Book Of Love
23531,DJ's Rule
40399,Kool Moe Dee
12831,Rich Kid
31418,Vinyl Junkie
463787,Simsalabim
50620,Supernova
47007,Bitch Kreek
164387,Black Thumb
154747,Budfellas
98974,The Country Gents
14468,Deskee
135912,Francis Lai
5727,Hidden Variable
3,Josh Wink
25830,Pants & Corset
13720,Bassheads
181023,Bathgate
19731,Sade
11737,Shannon
245153,Bedroom Wizard
84846,DJ Clue
1363,Gadgets
587418,Herschelwood Hardheadz
311723,Jazz At The Philharmonic
11606,KMFDM
24422,Krust
69722,Lionel Richie
2993,Monika Kruse @ Voodooamt
2635,Noosa Heads
60121,P.W.M.
100375,Rob Salmon
3202,Seven Dub
1907,Tribal Man
63494,Acid Girl
205073,Federation
24026,Finger Fest Inc.
471,Finitribe
167631,Geggy Tah
17218,Kalpa
56129,Martin H
74359,Martyn Hare
20098,The People Movers
6204,Ricky Effe
16441,Tuomas Rantanen
194,Various
194,Various
194,Various
100752,2Pac
4488466,Force Placement
32990,George Michael
696,Glenn Underground
35022,Herb Alpert
17501,Jaga Jazzist
396183,Javonntte
396183,Javonntte
1069427,Kris Krause
658057,Lone (2)
591298,Nail Tolliday
1548187,Nick Chacona & Anthony Mansfield
760928,Paul D.
443,Rick Preston
1537450,Sinkane
3162849,Spirit Of The Black 808
200646,Subb-an
1125999,Tevo Howard
194,Various
194,Various
194,Various
6091984,90's Wax
45,Aphex Twin
136704,Band Aid
137418,Billy Joel
203236,Boogiemonsters
13320,Carl A. Finlow
42608,Cellophane
3267,D.I.T.C.
2063,DJ Rush
706,Fresh Cool Juice
4655,Front 242
858,Hardfloor
71725,Interpol
253909,Jagg
1912915,Machinegewehr
8760,Madonna
8760,Madonna
8760,Madonna
3567801,Odesza
660735,Patrice Scott
4093064,Presence (20)
1098,Rick Wade
9741,Slick Rick
355,Unknown Artist
194,Various
194,Various
3655,Bizz O.D.
48860,Craig Mack
2063,DJ Rush
8308,DJ Spun
1182,Ed Rush & Optical
1175,James Ruskin
3,Josh Wink
11173,Laika
789,Lil' Louis
4506951,O B Ignitt
37821,Rudy Rude Dog Gonzalez
176667,Skratchy Seal
374510,Young Dro
4033,Eric B. & Rakim
237870,Jeremy Joshua
65049,Notorious B.I.G.
65049,Notorious B.I.G.
8887,Parliament
102898,Zapp & Roger
4033,Eric B. & Rakim
38561,OutKast
2495,Trip 'ta' Funk
45,Aphex Twin
25058,MF Doom
2712259,Helena Hauff
2881426,Acemo
2881426,Acemo
4932847,Julian Kendall
45,Aphex Twin
45,Aphex Twin
45,Aphex Twin
591298,Nail Tolliday
11213,Wu-Tang Clan
163490,The O'Jays
10783,Beastie Boys
13733,Aaliyah
7611,Reel 2 Real
239622,Jenifa Mayanja
154551,Geto Boys
2135,DJ Milton
50514,KRS-One
50514,KRS-One
194,Various
13911,Eurythmics
194,Various
7966,DJ 3D
7966,DJ 3D
7966,DJ 3D
132084,Snoop Dogg
194,Various
3868,Inner City
114823,Lil' Kim
889347,FaltyDL
223013,Soichi Terada
2774206,Larry De Kat
5233275,Aos (4)
355,Unknown Artist
194,Various
63774,Eightball & M.J.G.
6553015,Oscar Huang
10783,Beastie Boys
396183,Javonntte
65049,Notorious B.I.G.
62571,DJ Quik
76894,The Roots
16761,Digital Underground
133768,Big Punisher
50997,Nas
54720,Patricia Kaas
48393,Digable Planets
6627,Angel Moraes
7522,Greens Keepers
18459,DJ Vice
1706,Paperclip People
48393,Digable Planets
6183762,Moutier
6183762,Moutier
4402701,Harrison BDP
1174440,Tommy Vicari jnr
6720983,Phone Traxxx
1251953,Javi Bora
843457,Session Victim
1353660,Daniela La Luz
3568509,Kovyazin D
1468969,Simoncino
214,Joshua
3009623,That Man Monkz
3465394,The Human & Assets
65066,International Music System
194,Various
194,Various
2776885,Ben Rau
2735818,Shadow Child
6132862,Flora Fm
104731,Syclops
1540289,Bicep
5715853,JVXTA
5715853,JVXTA
2706510,Fold (5)
4463980,LK (8)
3418227,Dj Octopus (2)
620134,Harem (3)
3268,A Tribe Called Quest
3396355,Cosmic Handshakes
24944,CyBin
2830,DJ Icey
242071,The Genius
140804,Joi (3)
253,Luke Vibert
45742,Mike & Ike
1640,Nasty Habits
4506951,O B Ignitt
48163,Orion (2)
