release_id,title,released,styles,label_id,artist_id
33291,Ebbhead,1991,EBM,821,2709
577111,After School Special Take 2,2000,Breaks / Downtempo / Future Jazz,15118,194
114611,Future House Society,1998,House / Tech House,792,194
88166,System 6 / Whiplash,2002,Hard House / Hard Trance,9970,194
424799,Trouble,1997,House / Garage House,8159,17896
179881,Revelation,2000,Hard Trance,2019,15956
76691,Genetically Engineered Disc 1,2000,Hard Trance,1272,41595
264870,Versatile Styles Volume 2 EP,1996,Ghetto,2182,4391
197545,High Density / Another World,1999,Drum n Bass,1718,46028
113131,I'm Not In Love,2000,Trance / Progressive Trance,1685,4117
332711,State Of Attraction,1989,RnB/Swing,4196,230547
1414741,Standing Tall,1981,Smooth Jazz / Jazz-Funk,878,60450
6950,Stuntman,2000,Techno,262,373
767112,Testing The Waters,2000,Conscious,327832,10578
10322686,Untitled,2017,Hardcore / Speedcore,375893,194
23688,Technorocker,2001,Progressive House / Progressive Trance / Hard Trance,1998,20149
729983,Scumworld / The Styles Of Beyond,2006,Hardcore / Gabber,4542,20401
537096,Take It Back Home / Major League,2002,Conscious,23605,14956
46917,Car Alarm,1995,Tech House,2910,487733
94915,My Feeling,1999,House,1998,4266
11578500,Mossafer EP,2018,Techno / Ambient / Downtempo,569923,684515
60687,Don't Mug Yourself,2002,House / UK Garage / Drum n Bass,2179,17502
5057394,Beste Modus 03,2014,Deep House,503480,194
337505,Lucky 13!,2004,House,5746,194
10610560,Various Artists Vol. 1,2017,Deep House / Nu-Disco / Acid Jazz,901201,194
523170,Think U Jammin'? / The Livest One!,1999,n/a,48397,365427
1437692,Ebony Acid Dash E.P,2008,House / Ghetto / Acid House,79627,17308
7014641,Number Of The Beats,2015,Abstract / Acid House / Deep House / House / Techno,611658,3538770
10615164,Second Chance,2017,Drum n Bass,128,372109
1852178,Louder,2009,Techno,9085,765701
657209,Supersonic (The Cassette),1988,Electro / Pop Rap,7801,7261
11650157,Can't Hide Love / Here Is Where Your Love Belongs,2018,Disco / Soul,1427605,520374
10481394,Trife EP,2017,Drum n Bass,128,1163929
10817696,A Moment Apart,2017,Synth-pop / Nu-Disco,67959,3567801
9474903,Lada Passenger,2016,House / Deep House,937473,549188
8540683,RPDC001,2016,Acid / Techno,1012870,5057076
11905242,Layout EP,2018,Deep House / House,590,1515992
3590188,Caught The Feeling (Remixes),2012,Deep House / Garage House,12404,88510
7221286,Corporate Interiors,2015,House / Deep House / Disco,232335,4498695
8556669,4 Slices EP,2016,Italo-Disco / Hi NRG / House,1014630,58866
9904121,Beste Modus 07,2017,Deep House,503480,746170
11627741,The Rhythm EP,2018,Garage House / UK Garage,539954,6184479
652051,Magnificent,2006,House / Deep House,702,252
11926270,Rudy's Disc 31,2018,House / Deep House / Garage House,776908,5715853
7435975,Machine Dreams,2015,Downtempo / Ambient,253,503060
11641947,You Know How To Love Me / Let Somebody Love You,2018,Disco / Nu-Disco,1357451,92798
11537053,Contemplation Of Deepness EP,2018,House / Deep House,379248,2062
9236461,Cloud City EP,2016,Deep House,297813,3238903
8925825,Beneath The Skin,2016,Techno,178535,3885
33149,Beat's N Bobs,2001,Deep House / Future Jazz / Downtempo,14,638
8720448,Cheetah EP,2016,Techno / IDM,23528,45
5629296,Acid Tracks,2014,Acid House / House,267,1705
11040322,Charles Trees EP,2017,House,980200,1431577
