687973835,"12""",4.19,Very Good Plus (VG+),Draft,23688
687973932,"12""",4.19,Near Mint (NM or M-),Sold,729983
687973983,"12"" RE",4.19,Very Good Plus (VG+),Draft,537096
687974000,"12""",4.19,Near Mint (NM or M-),Draft,46917
687974058,"12""",8.47,Very Good Plus (VG+),Draft,94915
687974160,"12""",13.97,Mint (M),Sold,11578500
687974027,"12""",4.19,Near Mint (NM or M-),Draft,60687
687974184,"12"" W/Lbl Sta",16.98,Mint (M),Sold,5057394
687974112,"12""",8.98,Mint (M),Draft,337505
687974173,"12"" EP 180",14.98,Mint (M),Sold,10610560
687974090,"12""",11.89,Very Good Plus (VG+),Sold,523170
687974269,"12"" EP",13.47,Near Mint (NM or M-),Draft,1437692
687974268,"12"" EP Ltd W/Lbl Red",12.98,Mint (M),Draft,7014641
687974284,"12"" EP",15.97,Mint (M),Draft,10615164
687974245,"12""",11.89,Mint (M),Draft,1852178
687974334,Cass Album SR,2.89,Very Good Plus (VG+),Draft,657209
687974226,"7"" Single Promo",9.49,Mint (M),Sold,11650157
687974287,"12"" EP",17.98,Mint (M),Draft,10481394
687974349,2xLP Album Cle,27.97,Mint (M),Draft,10817696
687974299,"12""",11.89,Mint (M),Sold,9474903
687974324,"12"" S/Sided EP Promo",24.97,Mint (M),Sold,8540683
687974442,"12"" EP",14.98,Mint (M),Draft,11905242
687974399,"12""",12.98,Mint (M),Draft,3590188
687974407,Cass Album Ltd,21.97,Near Mint (NM or M-),Sold,7221286
687974403,"12"" EP Ltd",12.98,Mint (M),Draft,8556669
687974453,"12"" EP W/Lbl",15.97,Mint (M),Draft,9904121
687974459,"12"" EP",14.98,Mint (M),Draft,11627741
687974467,"12""",4.19,Very Good (VG),Draft,652051
687974439,"12""",13.97,Mint (M),Draft,11926270
687974448,"12""",14.98,Mint (M),Draft,9505509
687974431,LP Album RE,26.97,Mint (M),Draft,7435975
687974381,"12""",19.98,Mint (M),Sold,11641947
687974402,"12"" EP",15.49,Mint (M),Draft,11537053
687974380,"12"" W/Lbl Sta",11.89,Mint (M),Draft,9236461
688127564,"12"" EP",11.99,Near Mint (NM or M-),Sold,8925825
688756916,2xLP Album,25.99,Mint (M),Draft,33149
688757103,"12"" EP",22.99,Mint (M),Draft,8720448
688757179,"12"" RE RM",13.99,Mint (M),Sold,5629296
690145361,"12"" EP",10.99,Near Mint (NM or M-),Draft,11040322
690177910,"12""",4.2,Very Good (VG),Draft,88989
690914757,"12"" Single",9.49,Very Good Plus (VG+),Draft,863410
690915965,"12"" EP",11.99,Very Good Plus (VG+),Draft,3980024
690919295,"12""",5.99,Very Good Plus (VG+),Draft,938839
692328572,"12"" EP Promo",22.99,Mint (M),Draft,9240135
693778686,"12""",6.99,Very Good Plus (VG+),Draft,353089
693786983,"12""",6,Very Good Plus (VG+),Draft,38263
693787691,"12""",8.99,Near Mint (NM or M-),Draft,1495186
693790908,"12"" EP",7.99,Very Good Plus (VG+),Draft,1497231
693791590,"12""",7.99,Very Good Plus (VG+),Draft,80128
698099312,"2x12""",10.99,Very Good Plus (VG+),Draft,104498
701115158,"12"" EP",13.99,Mint (M),Sold,11636825
703525553,"12"" Promo",4.2,Very Good Plus (VG+),Draft,2041446
703953212,"12"" EP",13.99,Mint (M),Sold,11636825
687968730,"12"" W/Lbl",27.95,Very Good Plus (VG+),Draft,2507363
687968768,CD Comp,4.2,Very Good Plus (VG+),Draft,242346
687968691,"12"" Promo W/Lbl",20.95,Near Mint (NM or M-),Draft,10193908
687968731,"10""",27.95,Very Good Plus (VG+),Draft,246295
687968797,"12""",5.5,Very Good Plus (VG+),Draft,17848
687968799,"12""",5.5,Very Good Plus (VG+),Sold,84029
687968703,"12""",22.95,Very Good Plus (VG+),Draft,175080
687968711,"12"" EP W/Lbl",23.95,Very Good Plus (VG+),Draft,10714055
687968704,"12""",18,Very Good (VG),Sold,112580
687968807,"12""",5.5,Very Good Plus (VG+),Sold,226742
687968808,CD Album May,5.5,Good Plus (G+),Sold,4124373
687968685,"12""",5.5,Very Good Plus (VG+),Draft,7571450
687968781,CD Album,4.2,Very Good (VG),Sold,330827
687968706,"2x12"" Album",22.95,Mint (M),Draft,6633122
687968708,2xCD Comp,22.95,Near Mint (NM or M-),Draft,4777872
687968737,"2x12""",27.95,Very Good (VG),Sold,114752
687968741,"2x12"" Ltd Pic",28.95,Near Mint (NM or M-),Sold,72719
687968989,"12""",5.75,Very Good Plus (VG+),Draft,13850
687968971,"2x12""",4.2,Very Good Plus (VG+),Sold,177149
687968879,"10"" Num S/Edition",7,Near Mint (NM or M-),Draft,59663
687968930,"12"" EP",13.95,Mint (M),Sold,10607972
687968966,"12"" Promo",2.85,Very Good (VG),Draft,670329
687968881,"12""",7,Near Mint (NM or M-),Sold,767031
687968959,"7""",1.99,Very Good (VG),Draft,1190944
687968753,2xLP Album,38,Mint (M),Draft,11079617
687968985,"12"" Promo",4.75,Very Good Plus (VG+),Draft,398542
687968900,"12""",7.89,Very Good Plus (VG+),Draft,104045
687968745,"12"" EP",32,Near Mint (NM or M-),Draft,4581026
687968918,"12""",12.95,Very Good Plus (VG+),Draft,60831
687968902,"12""",7.89,Very Good Plus (VG+),Draft,397420
687968978,"12"" Maxi",4.2,Very Good Plus (VG+),Sold,110232
687968981,"12"" Promo",4.2,Very Good Plus (VG+),Sold,230332
687968912,"12"" EP",8.95,Very Good Plus (VG+),Draft,1193898
687968749,"12"" EP RP",20,Very Good Plus (VG+),Sold,9810844
687968968,"12"" Single",3.45,Very Good Plus (VG+),Draft,27276
687968854,"12"" RM",16.95,Mint (M),Sold,11259577
687968845,"12""",7,Very Good Plus (VG+),Draft,363349
687968945,"12"" Unofficial",16.95,Very Good Plus (VG+),Draft,383803
