listing_id,artist,title,label,styles,format,release_id,status,price,listed,media_condition,image_url,video_url
862610156,LL Cool J,Mama Said Knock You Out,Def Jam Recordings,n/a,"LP, Album",539458,For Sale,18.95,5/21/19 1:21,Very Good (VG),https://img.discogs.com/4Gc2jxu9xffWxCaeLJZnGlf26-A=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-539458-1476800097-3486.jpeg.jpg,https://www.youtube.com/watch?v=MoZ4yuMJ5-4
877256015,Lord Of The D,Dunstable Trax EP,Rewind Records (8),Jungle,"12"", EP",7327659,For Sale,15.95,5/21/19 1:21,Mint (M),https://img.discogs.com/cUFFKqCpCPMWpnNDmPi1rfaVLOg=/fit-in/600x603/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-7327659-1442386996-2920.jpeg.jpg,https://www.youtube.com/watch?v=3swX65JQGto
836519300,Lowtec,10 Strikes To 2001,Out To Lunch,Dub / Deep House / Experimental,"12""",47526,For Sale,18.95,5/21/19 1:21,Near Mint (NM or M-),https://img.discogs.com/cwaKsi10zBmb-vCo75R-RTca3rE=/fit-in/600x591/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-47526-1394210005-8307.jpeg.jpg,https://www.youtube.com/watch?v=OtA9sO263Bg
897531484,Madam Funkyfly,The Crazy Mule Saloon / That's It,T.K. Disco,Free Funk,"12""",961827,For Sale,7.79,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/52IfPgUg-8_uZP7Gvo-AkznHKvM=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-961827-1201350272.jpeg.jpg,https://www.youtube.com/watch?v=EEffwKIlEoo
855494847,Manchester Orchestra,Mean Everything To Nothing,"Favorite Gentlemen, Canvasback, Favorite Gentlemen, Canvasback",Indie Rock,"LP, Album, 180 + CD, Album",1857378,Sold,37.95,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/qabgVZevPiXZtIa_Amf44wS4134=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1857378-1396290748-3162.jpeg.jpg,https://www.youtube.com/watch?v=FLCt6YfqYnM
885435471,Map.ache,Vom Ende Bis Zum Anfang,Giegling,House / Ambient,"3x12"", Album",12694603,For Sale,37.95,5/21/19 1:21,Mint (M),https://img.discogs.com/sg9Kz1flNvZN754DXF-15EDC0aQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12694603-1540281097-7610.jpeg.jpg,https://www.youtube.com/watch?v=4-nnmBvf_yg
892557619,Mhonolink,Evil Steam EP,Evil Deception,Techno,"12"", EP",6521,For Sale,4.89,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/rUWdWPsGxuIjp7zfKV5A61HuP-0=/fit-in/337x336/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-6521-1316694064.jpeg.jpg,https://www.youtube.com/watch?v=jyuinFK0mQI
831818216,Mick Welch,Morphological Construct EP,Elektrosouls Recordings,Techno / Deep House,"12"", EP, Ltd",1930726,For Sale,33.95,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/rXPcaQWUdtjNfblLlpvo292O_sQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1930726-1253218204.jpeg.jpg,https://www.youtube.com/watch?v=qsHlZ_QKDh4
892553241,Monika Kruse @ Voodooamt,Funk Frequenz (Remixes),Terminal M,Techno,"12""",349358,For Sale,6.5,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/MIGn8I-XgLtcT1BCsaz97VautEU=/fit-in/592x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-349358-1137267724.jpeg.jpg,https://www.youtube.com/watch?v=SEk5_T2lKAY
898517896,Morgan Louis,Only 1,White Material,Techno / Deep House / House,"12"", EP",7060833,For Sale,10.49,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/UAYPwNIGGlWJZmQ-RgF77yCYDVE=/fit-in/170x170/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-7060833-1432790960-6445.jpeg.jpg,https://www.youtube.com/watch?v=hQNCJKyHTWc
